NAME	ending	population
Marócsa	other	79
Márok	other	427
Martonfa	fa	221
Matty	other	332
Máza	other	1238
Mecseknádasd	other	1585
Mecsekpölöske	other	426
Mekényes	other	277
Merenye	other	275
Meződ	other	123
Mindszentgodisa	other	882
Molvány	other	177
Monyoród	other	176
Mozsgó	other	948
Nagybudmér	other	183
Nagycsány	other	144
Nagydobsza	other	628
Nagyhajmás	other	341
Nagyharsány	other	1496
Nagykozár	other	2065
Nagynyárád	other	695
Nagypall	other	391
Nagypeterd	other	665
Nagytótfalu	falu	357
Nagyváty	other	322
Nemeske	other	238
Nyugotszenterzsébet	other	252
Óbánya	other	160
Ócsárd	other	434
Ófalu	falu	349
Okorág	other	172
Okorvölgy	other	80
Olasz	other	644
Old	other	349
Orfű	other	1073
Oroszló	other	302
Ózdfalu	falu	167
Palé	other	111
Palkonya	other	300
Palotabozsok	other	865
Páprád	other	160
Patapoklosi	other	384
Pécsbagota	other	102
Pécsdevecser	other	112
Pécsudvard	other	819
Pellérd	other	2319
Pereked	other	163
Peterd	other	223
Pettend	other	158
Piskó	other	263
Pócsa	other	182
Pogány	other	1270
Rádfalva	falva	221
Regenye	other	165
Romonya	other	529
Rózsafa	fa	365
Sámod	other	200
Sárok	other	130
Sátorhely	hely	653
Siklósbodony	other	154
Siklósnagyfalu	falu	466
Somberek	other	1487
Somogyapáti	apáti	496
Somogyhárságy	other	451
Somogyhatvan	other	372
Somogyviszló	other	255
Sósvertike	other	180
Sumony	other	486
Szabadszentkirály	other	792
Szágy	other	146
Szajk	other	838
Szalánta	other	1198
Szalatnak	other	314
Szaporca	other	234
Szárász	other	39
Szava	other	365
Szebény	other	385
Szederkény	other	1718
Székelyszabar	other	588
Szellő	other	147
Szemely	other	481
Szentdénes	other	314
Szentegát	other	384
Szentkatalin	other	115
Szentlászló	other	859
Szilágy	other	270
Szilvás	other	150
Szőke	other	131
Szőkéd	other	368
Szörény	other	76
Szulimán	other	264
Szűr	other	272
Tarrós	other	118
Tékes	other	250
Teklafalu	falu	316
Tengeri	other	56
Tésenfa	fa	211
Téseny	other	334
Tófű	other	132
Tormás	other	297
Tótszentgyörgy	györgy	146
Töttös	other	558
Túrony	other	270
Udvar	other	136
Újpetre	other	1050
Várad	other	127
Varga	other	84
Vásárosbéc	other	212
Vásárosdombó	other	1129
Vázsnok	other	125
Vejti	other	167
Vékény	other	158
Velény	other	135
Véménd	other	1437
Versend	other	974
Villánykövesd	other	271
Vokány	other	846
Zádor	other	341
Zaláta	other	255
Zengővárkony	other	435
Zók	other	306
Almáskamarás	other	883
Békéssámson	other	2424
Bélmegyer	other	983
Biharugra	other	927
Bucsa	other	2303
Csabaszabadi	other	301
Csanádapáca	other	2613
Csárdaszállás	szállás	428
Dombiratos	other	581
Ecsegfalva	falva	1239
Gerendás	other	1270
Geszt	other	792
Hunya	other	627
Kamut	other	1071
Kardos	other	588
Kardoskút	kút	839
Kaszaper	other	1848
Kertészsziget	other	386
Kétsoprony	other	1393
Kisdombegyház	other	513
Körösnagyharsány	other	621
Köröstarcsa	other	2521
Körösújfalu	falu	509
Kötegyán	other	1478
Kunágota	other	2788
Lőkösháza	háza	1851
Magyarbánhegyes	other	2233
Magyardombegyház	other	253
Medgyesbodzás	other	1043
Méhkerék	other	2141
Mezőgyán	other	1091
Murony	other	1242
Nagybánhegyes	other	1292
Nagykamarás	other	1366
Okány	other	2561
Örménykút	kút	352
Pusztaföldvár	vár	1709
Pusztaottlaka	other	362
Sarkadkeresztúr	túr	1551
Szabadkígyós	other	2651
Tarhos	other	826
Telekgerendás	other	1528
Újszalonta	other	109
Végegyháza	háza	1371
Zsadány	other	1661
Abaújalpár	other	72
Abaújkér	other	643
Abaújlak	lak	93
Abaújszolnok	other	197
Abaújvár	vár	225
Abod	other	217
Aggtelek	telek	550
Alacska	other	757
Alsóberecki	other	756
Alsódobsza	other	297
Alsógagy	other	99
Alsóregmec	other	187
Alsószuha	other	466
Alsótelekes	other	140
Alsóvadász	other	1575
Arka	other	91
Arnót	other	2488
Ároktő	other	1181
Aszaló	other	1846
Baktakék	other	813
Balajt	other	511
Bánhorváti	other	1377
Bánréve	other	1263
Baskó	other	173
Becskeháza	háza	33
Bekecs	other	2452
Berente	other	1152
Beret	other	300
Berzék	other	1020
Bodroghalom	halom	1374
Bodrogkeresztúr	túr	1102
Bodrogkisfalud	other	908
Bodrogolaszi	other	912
Bódvalenke	other	256
Bódvarákó	other	94
Bódvaszilas	other	1053
Bogács	other	2080
Boldogkőújfalu	falu	597
Boldogkőváralja	other	1000
Boldva	other	2432
Borsodbóta	other	879
Borsodgeszt	other	288
Borsodivánka	other	697
Borsodszentgyörgy	györgy	1219
Borsodszirák	other	1213
Bózsva	other	198
Bőcs	other	2791
Bükkábrány	other	1631
Bükkaranyos	other	1546
Bükkmogyorósd	other	134
Bükkszentkereszt	other	1171
Bükkzsérc	other	968
Büttös	other	189
Csenyéte	other	530
Cserépfalu	falu	979
Cserépváralja	other	415
Csernely	other	758
Csincse	other	578
Csobád	other	685
Csobaj	other	679
Csokvaomány	other	832
Damak	other	252
Dámóc	other	387
Debréte	other	19
Dédestapolcsány	other	1433
Detek	other	275
Domaháza	háza	860
Dövény	other	285
Dubicsány	other	273
Egerlövő	other	530
Égerszög	other	58
Erdőbénye	other	1181
Erdőhorváti	other	597
Fáj	other	457
Fancsal	other	346
Farkaslyuk	other	1995
Felsőberecki	other	283
Felsődobsza	other	960
Felsőgagy	other	233
Felsőkelecsény	other	358
Felsőnyárád	other	981
Felsőregmec	other	364
Felsőtelekes	other	754
Felsővadász	other	569
Filkeháza	háza	129
Fony	other	337
Forró	other	2674
Fulókércs	other	415
Füzér	other	415
Füzérkajata	other	118
Füzérkomlós	other	337
Füzérradvány	other	337
Gadna	other	308
Gagyapáti	apáti	27
Gagybátor	other	215
Gagyvendégi	other	217
Galvács	other	87
Garadna	other	373
Gelej	other	608
Gesztely	other	2775
Gibárt	other	335
Girincs	other	866
Golop	other	567
Gömörszőlős	szőlős	84
Göncruszka	other	678
Györgytarló	other	593
Halmaj	other	1713
Hangács	other	590
Hangony	other	1600
Háromhuta	other	138
Harsány	other	2072
Hegymeg	other	128
Hejce	other	223
Hejőbába	other	1928
Hejőkeresztúr	túr	1017
Hejőkürt	other	266
Hejőpapi	other	1175
Hejőszalonta	other	848
Hercegkút	kút	664
Hernádbűd	other	130
Hernádcéce	other	233
Hernádkak	other	1687
Hernádkércs	other	314
Hernádnémeti	other	3599
Hernádpetri	other	259
Hernádszentandrás	other	429
Hernádszurdok	other	180
Hernádvécse	other	1107
Hét	other	499
Hidasnémeti	other	1140
Hidvégardó	other	591
Hollóháza	háza	861
Homrogd	other	932
Igrici	other	1233
Imola	other	97
Ináncs	other	1229
Irota	other	77
Jákfalva	falva	531
Járdánháza	háza	1838
Jósvafő	other	274
Kács	other	502
Kánó	other	160
Kány	other	60
Karcsa	other	1882
Karos	other	527
Kázsmárk	other	1026
Kéked	other	191
Kelemér	other	512
Kenézlő	other	1233
Keresztéte	other	35
Kesznyéten	other	1797
Királd	other	796
Kiscsécs	other	204
Kisgyőr	other	1705
Kishuta	other	304
Kiskinizs	other	342
Kisrozvágy	other	193
Kissikátor	other	308
Kistokaj	other	2201
Komjáti	other	227
Komlóska	other	273
Kondó	other	611
Korlát	other	316
Kovácsvágás	other	665
Köröm	other	1598
Krasznokvajda	other	516
Kupa	other	186
Kurityán	other	1592
Lácacséke	other	326
Ládbesenyő	other	280
Lak	other	681
Legyesbénye	other	1526
Léh	other	454
Lénárddaróc	other	266
